Player,Image URL
Cody Gakpo,https://media.guim.co.uk/4b9033b8ecc19fad5553873cf5d33c70819ccbb5/710_42_2730_1638/500.jpg
Cristiano Ronaldo,https://media.guim.co.uk/5fb8e78649db5986998f33c68d5b37c1c4630023/207_2_4981_2989/500.jpg
Victor Osimhen,https://media.guim.co.uk/9e527c12326c19ca0b9c77f11e7b1307e80f2a9d/0_0_3100_1860/500.jpg
Rodri,https://media.guim.co.uk/8a99fe1966e1cb4e2a64e6c3d6f617566e9676c2/0_125_4155_2493/500.jpg
Ederson,https://media.guim.co.uk/1ebdf0b89e85e52bb64ed900f7b2cd8a8e5d2397/751_127_2766_1660/500.jpg
Ilkay Gündogan,https://media.guim.co.uk/69df0f18074303cfadb40bf911285b16b6f30183/0_172_3573_2144/500.jpg
Antonio Rüdiger,https://media.guim.co.uk/9538b10e670e95f60604422576aad1129829a88a/0_400_6000_3600/500.jpg
Riyad Mahrez,https://media.guim.co.uk/024a6564376fe47da439391f5fe7eaf50fd553bb/0_104_2485_1491/500.jpg
Marcus Rashford,https://media.guim.co.uk/c9a2b34953b6582eede5846c37baf95f318f8447/233_193_2331_1399/500.jpg
Luis Díaz,https://media.guim.co.uk/68e49ede9d5fa6ec668ebeb40f89946dbc4bb5f6/0_69_4293_2576/500.jpg
Trent Alexander-Arnold,https://media.guim.co.uk/e947d3a7845607ccac62666f98105be279bea029/95_210_2873_1724/500.jpg
Richarlison,https://media.guim.co.uk/3d4d91f54ad17853e529b071c06adeeb0d8b3aa6/0_286_4800_2880/500.jpg
Gabriel Jesus,https://media.guim.co.uk/bc6009b98028cad9984651916a16395d5afe2150/0_106_3500_2101/500.jpg
Hakim Ziyech,https://media.guim.co.uk/f96429e1b6ab42138bcf0b4423597a6b780feee1/0_180_4701_2820/500.jpg
Alphonso Davies,https://media.guim.co.uk/3d427bc40c5db4482ec8fbcca61d15b58e9f962a/0_45_2300_1380/500.jpg
Marquinhos,https://media.guim.co.uk/69dcb0a30de3e9a585779412096e8181c96fc78f/0_132_2294_1375/500.jpg
Dusan Vlahovic,https://media.guim.co.uk/c85ac1bf6e424fe3a07afb7660d25251b533ab5c/0_177_3222_1933/500.jpg
Éder Militão,https://media.guim.co.uk/9860b5846b7ff3ea881b0b3e010e511dda1c05e4/0_66_3500_2100/500.jpg
Marcelo Brozovic,https://media.guim.co.uk/93ddb054e5cd77936f79e6f32b9bc75f875bdf07/0_116_3261_1957/500.jpg
Ousmane Dembélé,https://media.guim.co.uk/41f89621e480eda5e424e38000eff4d44e9dbc2e/0_190_4282_2570/500.jpg
Lautaro Martínez,https://media.guim.co.uk/0bb3b5ec78ddf22f39f8332de479ad51370fd863/0_102_4896_2938/500.jpg
Dominik Livakovic,https://media.guim.co.uk/e492de30fe4cca962325594373127031c672b13d/22_5_1670_1002/500.jpg
Cristian Romero,https://media.guim.co.uk/222143e5aeb59e2a8724552814ecd97dcaefddde/0_65_3822_2293/500.jpg
Nicoló Barella,https://media.guim.co.uk/7556e5618a72c6fb5ef72bba81bc11f05937718f/383_13_4970_2984/500.jpg
Mike Maignan,https://media.guim.co.uk/b7f1630873ccb53f6f24b46875ba48964e316e63/0_135_3072_1844/500.jpg
Thiago Silva,https://media.guim.co.uk/7372b9c1d9569f0b8a339fc01d2a456ea1ddfc89/241_38_2454_1473/500.jpg
Hugo Lloris,https://media.guim.co.uk/7156a6f9b13de6c43190c6438d564effb6735d00/0_68_3000_1801/500.jpg
Fabinho,https://media.guim.co.uk/1e47d5efe8a0b88cadcda59a59100bc922b0f104/0_44_2016_1210/500.jpg
Mehdi Taremi,https://media.guim.co.uk/33cb463e02602a780dace07fe309706d01822bff/0_24_4080_2447/500.jpg
Azzedine Ounahi,https://media.guim.co.uk/b07da203247ea753f081f475bd3747a72135c92b/0_100_3000_1800/500.jpg
Kalidou Koulibaly,https://media.guim.co.uk/e04a62f025976a397a8d92a94d447d2e5556a27b/0_51_1929_1158/500.jpg
Lisandro Martínez,https://media.guim.co.uk/85d3e18d612f42aafdfe77f6c1af6f5ac80723e9/748_70_3003_1802/500.jpg
Darwin Núñez,https://media.guim.co.uk/19c5ca31ab913aae7ad0845df3e3c1a1b15b964d/133_209_2754_1652/500.jpg
