player_name,team,position
D. Wrona,Ohio State Buckeyes,CF
D. Williams,Ohio State Buckeyes,LCB
D. Ajagbe,Ohio State Buckeyes,CF
S. Magnusson,Ohio State Buckeyes,RCB
D. Vellios,Ohio State Buckeyes,LB
D. Onwona-Agyeman,Ohio State Buckeyes,RB
S. Vainstein,Penn State Nittany Lion,LCMF
F. Bell,Penn State Nittany Lion,LDMF
M. Hewes,Penn State Nittany Lion,"CF, RW"
F. Grundin,Penn State Nittany Lion,GK
V. Danielson,Penn State Nittany Lion,AMF
M. Marshall,Penn State Nittany Lion,RB
A. Kato,Penn State Nittany Lion,CF
A. Cooke,Penn State Nittany Lion,GK
A. Camara,Penn State Nittany Lion,"AMF, CF"
M. Henderson,Penn State Nittany Lion,LB
S. Bettenhausen,Penn State Nittany Lion,LCB
B. Liscum,Penn State Nittany Lion,RAMF
K. Dadzie,Penn State Nittany Lion,LAMF
B. Madore,Penn State Nittany Lion,"AMF, CF"
M. Daouda,Penn State Nittany Lion,RDMF
M. Cisset,Penn State Nittany Lion,LCB
S. Ovesen,Penn State Nittany Lion,LCB
C. Dionne,Penn State Nittany Lion,RAMF
C. Oliver,Penn State Nittany Lion,"CF, LCB"
C. Grabfelder,Penn State Nittany Lion,LAMF
J. Bonas,Penn State Nittany Lion,RCB
N. Collins,Rutgers Scarlet Knights,"RCB, RCB3"
S. Koza,Rutgers Scarlet Knights,LB
T. Angelone,Rutgers Scarlet Knights,RWF
N. Cabrera,Rutgers Scarlet Knights,"AMF, LDMF, RCMF"
O. Maeland,Rutgers Scarlet Knights,CF
N. Rosamilia,Rutgers Scarlet Knights,"AMF, LAMF"
S. Godden,Rutgers Scarlet Knights,"LB, LB5"
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, LCB"
J. Zalinsky,Rutgers Scarlet Knights,"LCB, RCB"
M. Lynch,Rutgers Scarlet Knights,CF
D. Carlson,Rutgers Scarlet Knights,RDMF
A. Flynn,Rutgers Scarlet Knights,LCB3
D. Stopek,Rutgers Scarlet Knights,"RB, RB5"
I. Tyrkus,Rutgers Scarlet Knights,"AMF, CF"
L. Aviles,Rutgers Scarlet Knights,CF
K. Arnarsson,Rutgers Scarlet Knights,AMF
I. Abbey,Rutgers Scarlet Knights,RAMF
B. Keating,Rutgers Scarlet Knights,0
C. Calov,Rutgers Scarlet Knights,"AMF, LAMF, LW"
E. Ruiz,Rutgers Scarlet Knights,"LCMF, RDMF"
F. Di Ponzio,Rutgers Scarlet Knights,"LAMF, RW"
C. Dalton,Rutgers Scarlet Knights,GK
C. Cruthers,Rutgers Scarlet Knights,LDMF
P. Naef,UCLA Bruins,CF
E. Caceres,UCLA Bruins,RCMF3
S. Scott,UCLA Bruins,LCB3
S. Rincón,UCLA Bruins,RWF
S. Hauksson,UCLA Bruins,LCMF3
S. Joseph,UCLA Bruins,GK
C. Wilkerson,UCLA Bruins,"DMF, LCMF3"
J. Contell,UCLA Bruins,CF
T. Karumanchi,UCLA Bruins,DMF
A. Ochoa,UCLA Bruins,"CF, LCMF3"
N. Cavallo,UCLA Bruins,LB5
Y. Senden,UCLA Bruins,CB
W. Nelson,UCLA Bruins,GK
A. Legaspi,UCLA Bruins,RCB3
A. Narang,UCLA Bruins,LCMF
N. Røjel,UCLA Bruins,CF
J. Cortez,UCLA Bruins,LCB
S. Nixon,UCLA Bruins,LCMF
T. Wright,UCLA Bruins,"LCMF, LW"
J. Diaz,UCLA Bruins,CF
P. Grassi,UCLA Bruins,"CB, LCB3"
P. Greenlee,UCLA Bruins,RB5
T. Ratoviz,UCLA Bruins,RCMF3
A. Vovk,UCLA Bruins,CF
H. Brown,Virginia Cavaliers,GK
C. Kosakoff,Washington Huskies,CF
C. Leber,Washington Huskies,RB
C. Lofy,Washington Huskies,RCMF
C. Meyers,Washington Huskies,LB
S. Sent,Washington Huskies,"LCMF, RCMF"
C. Buckley,Washington Huskies,RB
C. Peretti,Washington Huskies,RAMF
A. Hall,Washington Huskies,"LW, CF"
C. Brunell,Washington Huskies,RW
M. Sherlock,Washington Huskies,RCMF
P. Kingston,Washington Huskies,CF
M. Diop,Washington Huskies,CF
N. O'Brien,Washington Huskies,CF
J. Maguire,Washington Huskies,0
J. Dale,Washington Huskies,RW
J. Bowton,Washington Huskies,GK
H. Bertos,Washington Huskies,LCB
G. Fernandez,Washington Huskies,LB
R. Aman,Washington Huskies,CF
Z. Ramsey,Washington Huskies,"LW, RW"
R. Gourdie,Washington Huskies,"LCMF, LW"
E. Akulov,Washington Huskies,RCB
C. Crockford,Wisconsin Badgers,AMF
A. Braman,Wisconsin Badgers,GK
M. Hrvojevic,Wisconsin Badgers,AMF
M. Herbert,Wisconsin Badgers,GK
W. Smith,Wisconsin Badgers,CF
N. Glorioso,Wisconsin Badgers,DMF
M. Zachemski,Wisconsin Badgers,RCMF
K. Andrews,Wisconsin Badgers,"DMF, LCMF"
R. Quintos,Wisconsin Badgers,RCB
E. Jones,Wisconsin Badgers,RDMF
B. Baldvinsson,Wisconsin Badgers,LB
J. Kuhr,Wisconsin Badgers,"LCMF, RCMF"
O. Stefansson,Wisconsin Badgers,RW
E. Popkewitz,Wisconsin Badgers,LCMF
T. Raimbault,Wisconsin Badgers,"CF, LCMF, LW"
D. Boltz,Wisconsin Badgers,LW
R. Keefe,Wisconsin Badgers,0
R. Eisa,Wisconsin Badgers,CF
T. Fleming,Wisconsin Badgers,CF
R. Burlew,Wisconsin Badgers,RB
D. Brown,Wisconsin Badgers,LCB
