player_name,team,Position,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,xg,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels,offensive_duels.1,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,xa,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes,forward_passes.1,back_passes,back_passes.1,gk_stat_conceded_goals,gk_stat_xcg,gk_stat_shots_against,gk_stat_saves,gk_stat_reflex_saves,gk_stat_box_exits,gk_stat_passes_to_gk,gk_stat_passes_to_gk_completed,gk_stat_goal_kicks_attempted,gk_stat_short_goal_kicks,gk_stat_long_goal_kicks,ps
A. Adalsteinsson,Rutgers Scarlet Knights,"CB, LCB",91.14285714285714,54.714285714285715,40.5,0.0,0.0,0.5714285714285714,0.21428571428571427,0.09214285714285715,38.5,34.142857142857146,4.785714285714286,2.7142857142857144,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,8.714285714285714,4.714285714285714,3.7857142857142856,2.142857142857143,4.571428571428571,7.642857142857143,3.857142857142857,8.428571428571429,0.6428571428571429,1.7857142857142858,2.2142857142857144,3.4285714285714284,1.7857142857142858,0.7857142857142857,0.42857142857142855,0.07142857142857142,0.07142857142857142,3.5714285714285716,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.7142857142857143,0.35714285714285715,1.2142857142857142,0.0,0.2857142857142857,0.0,0.0,0.0,0.019285714285714288,0.0,3.9285714285714284,2.5714285714285716,0.42857142857142855,0.14285714285714285,25.357142857142858,15.071428571428571,11.5,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.2142857142857142,1.2142857142857142,0.0,0.0,0.0,1
A. Barger,Indiana Hoosiers,LB,91.44736842105263,64.8157894736842,41.05263157894737,0.02631578947368421,0.02631578947368421,0.4473684210526316,0.15789473684210525,0.028157894736842107,40.3421052631579,29.5,7.131578947368421,3.0526315789473686,2.1315789473684212,0.8947368421052632,1.5,1.131578947368421,18.473684210526315,10.578947368421053,3.4210526315789473,1.631578947368421,4.052631578947368,13.157894736842104,4.657894736842105,8.5,2.3684210526315788,4.315789473684211,0.0,8.131578947368421,5.157894736842105,1.894736842105263,1.1578947368421053,0.10526315789473684,0.0,2.0789473684210527,0.3157894736842105,0.05263157894736842,0.0,0.3157894736842105,5.026315789473684,2.6315789473684212,0.5789473684210527,0.0,1.605263157894737,1.631578947368421,0.631578947368421,0.18421052631578946,0.034736842105263156,0.05263157894736842,8.789473684210526,5.131578947368421,2.6578947368421053,1.105263157894737,28.44736842105263,18.105263157894736,10.789473684210526,7.157894736842105,6.7631578947368425,0.0,0.0,0.0,0.0,0.0,0.0,0.5526315789473685,0.5526315789473685,0.0,0.0,0.0,1
A. Bilow,Ohio State Buckeyes,RW,44.276595744680854,28.361702127659573,17.127659574468087,0.10638297872340426,0.06382978723404255,0.9787234042553191,0.48936170212765956,0.10851063829787233,15.72340425531915,12.46808510638298,0.8723404255319149,0.48936170212765956,0.7659574468085106,0.2765957446808511,0.6170212765957447,0.44680851063829785,8.106382978723405,3.8297872340425534,1.574468085106383,0.5319148936170213,1.6595744680851063,4.872340425531915,1.297872340425532,3.425531914893617,1.6170212765957446,6.48936170212766,0.0,2.978723404255319,1.872340425531915,1.3829787234042554,0.5531914893617021,0.14893617021276595,0.06382978723404255,0.40425531914893614,0.5106382978723404,0.1276595744680851,0.0,0.425531914893617,2.1702127659574466,0.8723404255319149,1.446808510638298,0.0851063829787234,0.425531914893617,0.3829787234042553,0.1702127659574468,0.0851063829787234,0.0374468085106383,0.0,2.0638297872340425,1.3404255319148937,0.9787234042553191,0.48936170212765956,10.76595744680851,4.702127659574468,3.276595744680851,3.6808510638297873,3.3404255319148937,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.10638297872340426,0.0,0.0,0.0,1
A. Braman,Wisconsin Badgers,GK,74.4,22.6,17.8,0.0,0.0,0.0,0.0,0.0,15.0,13.6,4.0,3.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.2,0.8,1.2,0.8,3.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,7.2,8.0,7.2,0.0,0.0,0.4,0.79,2.6,2.2,1.4,0.8,0.0,0.0,2.8,0.4,2.4,1
A. Camara,Penn State Nittany Lion,"AMF, CF",69.32051282051282,36.30769230769231,15.153846153846153,0.4230769230769231,0.05128205128205128,1.5512820512820513,0.7307692307692307,0.3335897435897436,12.820512820512821,9.833333333333334,0.3076923076923077,0.15384615384615385,0.5769230769230769,0.0641025641025641,1.4102564102564104,0.7435897435897436,14.397435897435898,4.435897435897436,3.1923076923076925,0.5384615384615384,0.8205128205128205,7.538461538461538,1.8461538461538463,1.4615384615384615,1.0128205128205128,7.628205128205129,0.47435897435897434,1.8205128205128205,1.0384615384615385,2.448717948717949,0.7051282051282052,0.038461538461538464,0.02564102564102564,0.19230769230769232,0.6794871794871795,0.1282051282051282,0.01282051282051282,0.34615384615384615,6.935897435897436,2.1538461538461537,2.3846153846153846,0.3717948717948718,0.4358974358974359,0.9358974358974359,0.10256410256410256,0.01282051282051282,0.03371794871794872,0.02564102564102564,1.0384615384615385,0.6538461538461539,0.46153846153846156,0.2948717948717949,8.26923076923077,1.7820512820512822,1.0,4.115384615384615,3.717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A. Cooke,Penn State Nittany Lion,GK,99.41176470588235,32.84313725490196,21.274509803921568,0.0,0.0,0.0,0.0,0.0,17.333333333333332,13.117647058823529,9.411764705882353,5.607843137254902,0.0,0.0,0.0196078431372549,0.0196078431372549,1.5490196078431373,1.3725490196078431,1.1372549019607843,1.0392156862745099,1.9019607843137254,5.313725490196078,1.1176470588235294,5.019607843137255,0.0,0.0,0.0,0.0784313725490196,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.0,0.0,0.6470588235294118,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.09803921568627451,0.0196078431372549,0.0,0.0,0.3333333333333333,0.13725490196078433,0.0,0.0,0.0,3.6470588235294117,1.7647058823529411,0.19607843137254902,0.0,7.666666666666667,11.294117647058824,7.333333333333333,0.0,0.0,1.5490196078431373,1.2923529411764705,4.627450980392157,3.0784313725490198,1.607843137254902,2.8823529411764706,0.0,0.0,9.03921568627451,1.7450980392156863,7.294117647058823,1
A. Flynn,Rutgers Scarlet Knights,LCB3,26.77777777777778,19.40740740740741,12.74074074074074,0.037037037037037035,0.0,0.07407407407407407,0.037037037037037035,0.03111111111111111,12.925925925925926,10.185185185185185,1.5555555555555556,0.5185185185185185,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,3.8518518518518516,2.185185185185185,1.2962962962962963,0.6666666666666666,2.2222222222222223,3.4814814814814814,2.037037037037037,2.6666666666666665,0.4074074074074074,0.0,0.0,1.5925925925925926,1.037037037037037,0.6296296296296297,0.37037037037037035,0.1111111111111111,0.1111111111111111,1.1111111111111112,0.18518518518518517,0.0,0.0,0.037037037037037035,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.0,0.0,0.2222222222222222,0.0,0.0,0.003703703703703704,0.0,1.4444444444444444,0.7407407407407407,0.14814814814814814,0.037037037037037035,9.0,6.555555555555555,4.222222222222222,0.7777777777777778,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.4074074074074074,0.0,0.0,0.0,1
A. Hall,Washington Huskies,"LW, CF",50.09090909090909,35.45454545454545,18.09090909090909,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.2727272727272727,0.08454545454545455,18.727272727272727,13.090909090909092,1.0,0.45454545454545453,1.6363636363636365,0.5454545454545454,2.3636363636363638,1.3636363636363635,12.454545454545455,4.636363636363637,1.9090909090909092,0.5454545454545454,1.6363636363636365,9.727272727272727,2.1818181818181817,3.0,1.6363636363636365,0.0,0.0,2.6363636363636362,1.4545454545454546,1.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.0,0.0,1.2727272727272727,6.636363636363637,2.4545454545454546,1.7272727272727273,0.09090909090909091,1.3636363636363635,0.2727272727272727,0.18181818181818182,0.0,0.18818181818181817,0.09090909090909091,2.3636363636363638,1.7272727272727273,2.272727272727273,1.2727272727272727,13.818181818181818,6.363636363636363,4.2727272727272725,2.909090909090909,2.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,1
A. Kato,Penn State Nittany Lion,CF,60.0,33.86666666666667,10.8,0.06666666666666667,0.0,1.0,0.6,0.16066666666666668,7.733333333333333,5.666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.7333333333333333,0.26666666666666666,16.933333333333334,4.466666666666667,5.2,0.9333333333333333,1.0,7.266666666666667,1.4,1.9333333333333333,1.2666666666666666,3.7333333333333334,0.0,2.7333333333333334,1.4,3.4,0.8666666666666667,0.0,0.0,0.0,1.2,0.06666666666666667,0.0,0.13333333333333333,5.6,1.2666666666666666,2.066666666666667,0.6,0.4666666666666667,0.6666666666666666,0.06666666666666667,0.0,0.014,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.0,4.4,1.2,0.6,2.533333333333333,2.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A. Legaspi,UCLA Bruins,RCB3,78.92857142857143,66.5,51.5,0.0,0.0,0.0,0.0,0.0,53.714285714285715,45.714285714285715,7.642857142857143,3.5714285714285716,0.5,0.21428571428571427,0.2857142857142857,0.14285714285714285,8.5,4.714285714285714,1.0714285714285714,0.5714285714285714,3.357142857142857,8.071428571428571,3.5714285714285716,6.357142857142857,1.2857142857142858,0.0,0.0,5.142857142857143,3.357142857142857,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.07142857142857142,1.5714285714285714,0.42857142857142855,0.0,0.0,0.07142857142857142,1.6428571428571428,0.5,0.0,0.0,0.5714285714285714,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.004285714285714286,0.0,9.071428571428571,5.785714285714286,1.5714285714285714,0.5714285714285714,42.42857142857143,22.857142857142858,16.642857142857142,3.7142857142857144,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,1
