,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
0,?tefan Radu,Lazio,DF,556.0,3.87,1.29,0.65,0.0,2.58,0.97,0.0,0.0,0.32,0.16,7.74,0.48,1.61,0.0,0.32,0.81,52.6,5.48,2.58,3.39,0.0,38.1,1.13,0.0,0.16,0
1,?ukasz Fabia?ski,West Ham,GK,3330.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.05,0.03,27.2,19.0,0.0,0.3,0.0,11.1,0.0,0.0,0.03,0
2,?ukasz Skorupski,Bologna,GK,3240.0,0.03,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.11,0.06,35.0,18.9,0.0,0.11,0.0,16.4,0.0,0.0,0.0,0
3,Aaron Connolly,Brighton,FW,156.0,4.12,0.0,2.35,0.0,1.76,4.12,0.0,0.0,1.18,0.0,4.12,0.59,0.0,0.0,0.0,0.59,10.6,0.0,0.0,0.0,0.0,12.9,0.59,0.0,0.59,0
4,Aaron Cresswell,West Ham,DF,2726.0,2.1799999999999997,0.99,0.96,0.07,3.63,0.43,0.07,0.1,0.59,0.1,8.02,0.36,1.42,0.0,0.1,0.66,67.6,12.6,5.12,4.19,0.79,48.3,2.08,0.26,1.16,0
5,Aaron Hickey,Bologna,DF,2820.0,1.85,1.44,1.05,0.13,4.22,2.4,0.16,0.03,0.67,0.42,5.75,0.86,1.25,0.0,0.22,1.44,41.7,3.67,1.63,1.18,0.7,31.3,1.25,0.29,0.58,0
6,Aaron Lennon,Burnley,MF,1551.0,2.09,2.21,2.79,0.23,3.26,1.45,0.12,0.0,0.7,0.23,5.29,0.93,0.87,0.0,0.12,1.34,22.3,2.62,0.99,0.52,0.29,20.1,1.74,0.12,0.58,0
7,Aaron Ramsdale,Arsenal,GK,3060.0,0.03,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.03,0.0,34.0,17.8,0.03,0.82,0.0,17.8,0.0,0.0,0.0,0
8,Aaron Ramsey,Juventus,MF,99.0,0.0,0.0,1.82,0.0,1.82,0.91,0.0,0.0,0.0,0.0,3.64,0.91,1.82,0.0,0.0,0.91,60.9,10.9,3.64,4.55,0.0,53.6,0.0,0.0,1.82,0
9,Aaron Wan-Bissaka,Manchester Utd,DF,1793.0,2.51,2.31,1.31,0.05,4.72,0.85,0.0,0.0,0.25,0.05,8.24,1.41,2.56,0.0,0.1,0.95,55.9,4.42,2.66,2.16,0.6,40.2,1.11,0.35,0.7,0
10,Aarón Escandell,Granada,GK,284.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.31,0.31,0.0,39.1,29.7,0.0,0.94,0.0,11.3,0.0,0.0,0.0,0
11,Aarón Martín,Mainz 05,DF,2292.0,1.77,2.27,0.94,0.0,2.31,0.67,0.04,0.04,0.71,0.16,6.82,0.71,1.37,0.0,0.27,1.33,43.8,12.1,3.02,2.12,1.1,28.5,2.9,0.71,1.92,0
12,Abdel Jalil Medioub,Bordeaux,DF,622.0,2.32,2.17,0.43,0.0,1.3,0.14,0.0,0.0,0.43,0.0,8.12,0.14,2.46,0.0,0.0,0.58,41.2,9.71,1.59,1.16,0.0,31.7,0.0,0.0,0.0,0
13,Abdelhamid Sabiri,Sampdoria,MFFW,893.0,5.15,3.23,2.53,0.1,2.93,3.64,0.3,0.2,1.62,0.91,5.05,2.12,0.81,0.0,0.3,2.53,34.8,5.56,2.53,2.83,0.71,35.3,0.51,0.1,1.11,0
14,Abdessamad Ezzalzouli,Barcelona,FWDF,580.0,2.66,2.34,9.38,0.31,9.22,2.97,0.16,0.0,2.5,0.47,5.78,3.44,1.72,0.0,0.63,2.66,29.5,2.34,1.41,0.31,0.47,35.8,3.28,0.16,0.78,0
15,Abdou Diallo,Paris S-G,DF,877.0,1.96,2.47,0.93,0.0,6.49,0.31,0.0,0.1,0.21,0.1,5.98,1.13,1.34,0.0,0.1,1.24,72.1,8.97,5.57,3.71,0.82,61.0,1.44,0.31,0.41,0
16,Abdou Harroui,Sassuolo,MF,452.0,3.2,2.4,2.8,0.0,6.4,0.4,0.0,0.0,2.6,0.4,11.0,1.8,1.4,0.0,0.4,3.0,59.4,7.8,2.8,6.8,0.0,52.6,0.6,0.0,1.0,0
17,Abdoulaye Bakayoko,Saint-Étienne,DF,307.0,1.76,4.71,0.29,0.0,1.18,1.47,0.0,0.0,0.0,0.0,10.0,1.47,4.12,0.0,0.0,2.06,38.5,10.0,1.47,1.18,0.0,27.4,0.0,0.0,0.0,0
18,Abdoulaye Bamba,Angers,DF,458.0,2.35,1.18,1.37,0.0,2.75,1.18,0.0,0.0,0.2,0.0,5.88,0.39,2.35,0.0,0.2,0.98,36.7,3.73,2.35,1.18,0.59,23.5,1.37,0.39,0.39,0
19,Abdoulaye Doucouré,Everton,MF,2537.0,3.4000000000000004,2.7,1.74,0.04,3.12,0.71,0.07,0.14,1.21,0.35,12.6,0.67,1.45,0.0,0.21,1.91,38.8,3.97,3.23,2.87,0.82,27.6,0.28,0.04,0.74,0
20,Abdoulaye Sylla,Nantes,DF,157.0,2.94,2.35,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,4.12,0.0,2.35,0.0,0.59,2.94,44.7,14.7,0.59,1.18,0.0,35.9,0.0,0.0,0.0,0
21,Abdoulaye Touré,Genoa,MF,430.0,2.92,1.67,1.46,0.0,2.29,1.88,0.0,0.0,0.83,0.0,9.17,0.42,2.08,0.0,0.21,0.83,36.0,4.38,1.67,2.5,0.0,27.3,0.21,0.0,0.0,0
22,Abdourahmane Barry,Greuther Fürth,DF,210.0,3.48,3.91,1.3,0.0,3.91,1.74,0.0,0.0,0.43,0.0,12.2,1.74,2.61,0.0,0.87,3.48,50.0,9.57,4.35,3.48,0.87,30.4,2.61,0.87,0.87,0
23,Abdu Conté,Troyes,DF,1347.0,1.9300000000000002,1.87,1.2,0.13,3.6,1.0,0.0,0.07,0.33,0.07,4.6,0.87,1.2,0.0,0.13,1.13,41.0,5.0,2.33,1.53,0.6,28.9,2.27,0.33,0.73,0
24,Abdul Majeed Waris,Strasbourg,MFFW,327.0,2.77,1.11,4.17,0.28,6.94,3.89,0.56,0.0,1.94,0.83,6.39,1.94,0.56,0.0,0.28,1.11,36.4,2.78,2.22,1.11,1.11,40.3,1.11,0.28,1.11,0
25,Abdón Prats,Mallorca,FW,641.0,9.719999999999999,0.42,5.49,0.28,1.41,2.39,0.42,0.0,2.68,0.99,4.51,2.82,0.14,0.0,0.42,1.55,22.0,1.83,1.83,1.55,0.42,24.5,0.56,0.0,0.99,0
26,Aboubakar Sidibé,Clermont Foot,FW,6.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,10.0,0.0,40.0,0.0,0.0,0.0,0
27,Achraf Hakimi,Paris S-G,DF,2479.0,1.0899999999999999,2.98,3.09,0.22,6.25,0.65,0.15,0.22,0.76,0.36,4.87,0.95,1.64,0.04,0.11,0.73,66.7,3.38,3.56,2.36,1.42,55.9,1.89,0.47,1.05,0
28,Adam Armstrong,Southampton,FW,1413.0,3.31,0.64,5.22,0.13,4.08,0.57,0.13,0.13,2.99,0.89,3.63,1.59,0.57,0.0,0.06,0.96,20.1,2.04,1.66,0.89,0.83,22.2,1.4,0.0,0.76,0
29,Adam Forshaw,Leeds United,MF,1530.0,1.6400000000000001,3.0,0.53,0.12,2.76,1.24,0.0,0.06,0.82,0.24,11.2,1.0,1.76,0.0,0.29,2.24,47.6,7.82,3.59,3.47,0.47,36.7,0.29,0.0,0.76,0
30,Adam Idah,Norwich City,FWMF,625.0,7.539999999999999,1.59,4.78,1.45,2.75,1.74,0.14,0.14,2.03,0.58,4.93,2.46,0.58,0.0,0.0,1.45,20.6,1.74,1.01,1.01,0.58,23.5,1.59,0.29,0.58,0
31,Adam Lallana,Brighton,MF,1561.0,1.56,2.2,2.2,0.0,3.99,1.33,0.0,0.06,1.16,0.23,10.8,1.16,1.56,0.0,0.23,0.81,54.7,4.51,3.41,3.53,1.04,45.8,0.46,0.0,0.46,0
32,Adam Marui?,Lazio,DF,2721.0,2.48,0.99,0.53,0.0,3.84,0.43,0.03,0.0,0.3,0.1,8.11,0.76,2.02,0.03,0.2,0.93,62.3,5.4,2.32,3.38,0.3,46.4,0.89,0.13,0.26,0
33,Adam Masina,Watford,DF,1077.0,3.75,2.0,0.25,0.0,2.0,0.42,0.0,0.08,0.42,0.0,7.75,0.5,2.58,0.0,0.0,1.58,45.0,12.8,2.67,2.25,0.58,26.3,1.5,0.42,0.67,0
34,Adam Obert,Cagliari,DF,274.0,4.0,3.0,0.0,0.0,1.33,0.33,0.0,0.0,0.0,0.0,8.67,2.0,1.67,0.0,0.0,2.0,35.3,10.3,0.67,1.0,0.33,25.3,0.33,0.33,0.0,0
35,Adam Ounas,Napoli,MFFW,326.0,1.3900000000000001,1.67,6.11,0.0,12.8,3.06,0.0,0.0,3.61,0.56,7.22,4.44,1.39,0.0,0.28,2.5,56.9,9.72,6.94,4.44,3.61,58.9,2.78,0.83,3.33,0
36,Adam Webster,Brighton,DF,1434.0,5.22,1.45,1.01,0.0,4.78,0.19,0.13,0.0,0.57,0.13,11.6,0.25,1.57,0.0,0.31,1.13,71.4,15.8,4.59,6.23,0.06,57.1,0.25,0.0,0.06,0
37,Adama Soumaoro,Bologna,DF,2266.0,3.05,0.67,0.71,0.04,1.98,0.52,0.0,0.0,0.28,0.04,8.37,0.16,1.75,0.08,0.24,0.99,41.9,5.0,2.22,1.83,0.12,30.5,0.12,0.04,0.04,0
38,Adama Traoré,"Barcelona, Wolves",FWDF,724.5,2.305,0.86,6.52,0.62,10.875,2.87,0.04,0.24,2.035,0.605,6.025,2.065,0.765,0.0,0.0,1.495,34.3,3.985,2.275,1.5499999999999998,2.06,38.2,5.34,1.2449999999999999,1.635,0
39,Ademola Lookman,Leicester City,FWMF,1453.0,1.31,2.55,5.78,0.37,5.9,2.48,0.37,0.0,1.68,0.75,6.96,3.54,1.24,0.0,0.12,1.86,33.3,2.05,3.04,1.43,1.37,34.5,1.37,0.25,1.37,0
40,Adil Aouchiche,Saint-Étienne,MFFW,1081.0,3.17,1.75,2.17,0.17,8.17,1.33,0.0,0.33,1.83,0.83,8.0,2.0,1.75,0.0,0.17,1.08,52.6,11.3,3.33,3.5,0.75,46.6,2.0,0.33,1.58,0
41,Adil Rami,Troyes,DF,1171.0,2.85,1.38,0.77,0.0,1.23,0.38,0.23,0.0,0.46,0.23,7.23,0.15,1.38,0.0,0.08,0.62,39.9,10.8,1.62,1.69,0.15,31.1,0.0,0.0,0.08,0
42,Admir Mehmedi,Wolfsburg,MF,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0
43,Adnan Januzaj,Real Sociedad,FWMF,1625.0,1.99,0.99,3.43,0.22,8.12,3.37,0.17,0.0,2.21,0.72,4.97,3.43,0.94,0.0,0.28,1.55,40.7,12.2,4.09,2.98,1.66,41.5,3.2,0.66,1.82,0
44,Adri Embarba,Espanyol,FWMF,1986.0,2.39,1.9,2.35,0.27,5.93,2.44,0.0,0.09,2.22,0.72,7.06,2.13,1.31,0.0,0.18,1.76,35.9,8.46,1.63,1.04,1.04,29.9,3.48,0.54,1.63,0
45,Adrian Fein,Greuther Fürth,MF,32.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,2.5,5.0,0.0,0.0,2.5,22.5,5.0,0.0,0.0,0.0,20.0,0.0,0.0,2.5,0
46,Adrian Grbi?,Lorient,FWMF,518.0,6.21,0.52,3.28,0.17,1.21,1.72,0.17,0.0,2.07,1.03,3.97,1.38,0.52,0.0,0.0,1.03,19.1,0.52,1.03,0.69,0.17,18.1,0.34,0.0,0.69,0
47,Adrian emper,Genoa,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0
48,Adrien Rabiot,Juventus,MF,2285.0,3.3499999999999996,2.91,2.32,0.16,4.21,1.18,0.0,0.08,1.02,0.28,8.46,1.22,1.26,0.0,0.2,1.89,41.0,4.57,2.4,2.24,0.59,34.5,0.79,0.2,0.79,0
49,Adrien Silva,Sampdoria,MF,1083.0,2.83,2.92,0.67,0.0,2.33,1.42,0.0,0.08,0.67,0.17,12.4,1.17,2.67,0.08,0.25,1.5,50.4,9.67,4.0,3.33,0.5,37.2,0.33,0.17,0.67,0
50,Adrien Tameze,Hellas Verona,MFDF,2574.0,4.16,1.71,1.85,0.07,3.57,1.36,0.14,0.07,0.8,0.24,11.6,1.22,2.52,0.0,0.14,1.26,45.4,6.5,4.41,3.22,0.73,33.7,0.94,0.14,0.94,0
51,Adrien Thomasson,Strasbourg,MF,2389.0,1.77,2.75,5.4,0.15,3.55,1.36,0.3,0.15,1.81,0.72,9.74,1.81,1.81,0.04,0.08,1.47,49.7,6.34,3.92,3.32,1.28,43.5,2.11,0.38,1.28,0
52,Adrien Truffert,Rennes,DF,1639.0,2.74,1.76,2.47,0.0,8.13,1.15,0.16,0.11,1.1,0.27,8.68,0.99,1.76,0.0,0.22,1.54,64.1,6.7,4.07,3.19,1.26,47.9,1.98,0.6,0.82,0
53,Adrián Butzke,Granada,FW,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
54,Afimico Pululu,Greuther Fürth,FW,70.0,12.55,3.75,5.0,1.25,3.75,10.0,0.0,0.0,1.25,0.0,2.5,5.0,0.0,0.0,0.0,5.0,25.0,2.5,1.25,2.5,0.0,43.8,1.25,0.0,0.0,0
55,Aihen Muñoz,Real Sociedad,DF,1342.0,3.89,2.48,0.67,0.0,4.36,1.07,0.0,0.0,0.47,0.0,8.93,1.07,1.74,0.07,0.27,1.88,50.9,7.52,2.68,3.09,0.67,33.3,2.21,0.27,0.4,0
56,Aimar Sher,Spezia,MF,45.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,0.0,38.0,4.0,6.0,2.0,2.0,24.0,0.0,0.0,0.0,0
57,Aimen Moueffek,Saint-Étienne,MF,432.0,4.37,1.46,0.83,0.0,7.08,2.08,0.0,0.0,0.83,0.21,12.1,2.5,1.67,0.0,0.21,1.25,48.3,7.29,3.96,4.17,0.42,43.3,0.21,0.0,0.42,0
58,Ainsley Maitland-Niles,"Arsenal, Roma",DF,377.5,2.335,1.6300000000000001,0.8150000000000001,0.095,4.26,0.52,0.0,0.0,0.615,0.185,9.945,1.4849999999999999,1.705,0.0,0.0,1.4849999999999999,52.3,7.98,4.2,3.1100000000000003,1.15,38.65,1.925,0.28,0.9650000000000001,0
59,Aitor Fernández,Levante,GK,1166.0,0.0,0.08,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.08,0.08,0.0,29.3,16.6,0.08,0.15,0.08,12.2,0.0,0.0,0.0,0
60,Aitor Ruibal,Betis,FWDF,856.0,2.8499999999999996,2.53,3.16,0.11,5.89,2.11,0.0,0.0,2.0,0.32,5.68,1.68,1.68,0.0,0.63,2.63,35.8,3.37,4.0,2.21,1.26,35.3,1.89,0.21,1.05,0
61,Ajdin Hrustic,Eint Frankfurt,MF,964.0,2.05,1.68,1.4,0.0,4.86,0.75,0.19,0.0,2.71,0.75,10.7,2.34,1.78,0.0,0.19,1.59,56.0,10.3,4.86,4.02,0.65,48.7,0.84,0.19,0.75,0
62,Akim Zedadka,Clermont Foot,DF,3337.0,1.75,2.05,1.21,0.13,5.12,2.45,0.0,0.08,0.86,0.16,9.06,1.56,2.29,0.0,0.13,0.78,56.9,6.23,3.45,2.1,1.46,39.8,2.4,0.81,1.08,0
63,Alassane Pléa,M'Gladbach,FWMF,2070.0,2.61,0.83,4.17,0.57,6.26,1.61,0.43,0.26,2.57,1.0,5.39,1.61,0.43,0.0,0.17,1.13,34.8,5.57,4.87,3.43,1.83,35.2,0.91,0.22,2.26,0
64,Alassane Sidibe,Atalanta,FW,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0
65,Alban Lafont,Nantes,GK,3420.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.08,0.03,29.3,19.4,0.0,0.45,0.0,12.7,0.0,0.0,0.0,0
66,Albert Gu?mundsson,Genoa,FWMF,607.0,2.3899999999999997,1.19,4.33,0.45,4.63,1.34,0.15,0.0,1.34,0.15,6.57,1.79,0.9,0.0,0.45,2.69,33.1,5.82,2.39,1.64,1.64,29.7,2.99,0.75,1.64,0
67,Albert Sambi Lokonga,Arsenal,MF,1134.0,3.5,1.75,0.56,0.0,7.3,1.35,0.0,0.0,1.59,0.63,9.84,0.56,1.83,0.0,0.4,1.35,63.7,9.76,4.84,5.08,1.35,54.7,0.24,0.08,1.43,0
68,Alberth Elis,Bordeaux,FWMF,1409.0,4.84,1.4,5.73,0.57,4.71,1.46,0.57,0.06,1.91,0.76,4.08,2.74,0.96,0.0,0.13,1.46,20.5,1.66,1.53,1.27,0.64,25.0,1.97,0.25,1.08,0
69,Alberto Grassi,Cagliari,MF,2174.0,4.09,1.98,1.16,0.04,2.31,2.69,0.0,0.04,1.03,0.08,12.6,0.95,3.18,0.04,0.25,1.32,43.5,6.12,2.56,2.64,0.25,31.0,0.04,0.04,0.54,0
70,Alberto Moreno,Villarreal,MFDF,1223.0,1.8399999999999999,1.18,3.09,0.44,5.07,1.62,0.22,0.15,1.62,0.74,6.62,1.18,2.65,0.0,0.22,1.99,45.8,6.47,2.79,1.84,1.62,39.6,2.35,0.51,1.4,0
71,Alberto Perea,Cádiz,MF,777.0,1.2799999999999998,1.74,1.98,0.0,7.56,2.44,0.0,0.12,1.98,0.35,8.26,2.91,2.09,0.0,0.23,1.16,41.7,6.98,5.7,3.37,1.4,40.0,4.07,0.7,1.28,0
72,Alberto Soro,Granada,MFFW,578.0,5.79,2.34,3.44,0.31,3.91,1.25,0.0,0.0,1.09,0.63,5.63,2.34,1.09,0.0,0.0,1.09,28.4,3.13,2.03,1.56,0.78,25.9,1.09,0.0,1.09,0
73,Albin Ekdal,Sampdoria,MF,1637.0,2.58,2.47,1.21,0.0,1.87,2.25,0.05,0.0,0.77,0.11,10.7,0.71,2.2,0.05,0.6,2.14,39.6,5.33,3.79,2.47,0.38,28.0,0.05,0.0,0.33,0
74,Aleix Febas,Mallorca,MF,117.0,3.08,3.85,1.54,0.0,6.15,3.08,0.0,0.0,0.0,0.0,10.8,3.08,0.0,0.0,0.77,1.54,43.1,6.92,3.85,4.62,0.77,37.7,0.0,0.0,0.77,0
75,Aleix Vidal,Espanyol,DFMF,1901.0,1.0899999999999999,1.61,0.9,0.05,4.17,1.56,0.09,0.0,0.28,0.14,8.77,1.09,2.42,0.0,0.47,1.28,51.4,7.39,3.6,2.42,1.28,36.5,1.66,0.52,1.18,0
76,Alejandro Asensio,Rayo Vallecano,FW,12.0,10.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,10.0,10.0,80.0,10.0,10.0,10.0,0
77,Alejandro Balde,Barcelona,DFFW,188.0,1.43,1.9,2.38,0.0,8.57,1.9,0.0,0.0,0.48,0.0,7.14,1.43,0.95,0.0,0.0,2.38,72.4,4.29,4.76,1.43,1.9,70.5,1.43,0.48,0.48,0
78,Alejandro Garnacho,Manchester Utd,FW,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0
79,Alejandro Primo,Levante,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0
80,Aleksa Terzi?,Fiorentina,DF,274.0,4.34,3.0,0.67,0.0,6.33,0.67,0.0,0.33,0.0,0.0,9.33,2.0,3.67,0.0,0.33,1.67,80.7,15.0,4.0,2.0,2.67,57.7,4.33,2.0,1.67,0
81,Aleksandar Kolarov,Inter,DF,42.0,6.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,74.0,14.0,6.0,8.0,2.0,72.0,0.0,0.0,0.0,0
82,Aleksandar Sedlar,Mallorca,DFMF,404.0,4.45,0.89,0.22,0.0,1.33,1.11,0.0,0.0,0.0,0.0,11.1,0.44,1.33,0.22,1.11,1.56,37.8,8.44,2.22,1.33,0.0,25.3,0.0,0.0,0.44,0
83,Aleksander Buksa,Genoa,FW,63.0,8.58,0.0,2.86,0.0,1.43,0.0,0.0,0.0,0.0,0.0,7.14,1.43,0.0,0.0,0.0,2.86,21.4,2.86,4.29,1.43,1.43,15.7,1.43,0.0,0.0,0
84,Aleksandr Golovin,Monaco,FWMF,1502.0,1.92,2.22,2.63,0.12,6.77,1.38,0.18,0.24,1.38,0.42,6.95,1.44,1.32,0.06,0.24,1.62,46.3,8.86,4.79,2.87,2.04,37.5,2.46,0.42,2.87,0
85,Aleksandr Kokorin,Fiorentina,FWMF,55.0,16.66,1.67,5.0,0.0,3.33,5.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,1.67,3.33,43.3,5.0,1.67,0.0,0.0,51.7,0.0,0.0,0.0,0
86,Aleksei Miranchuk,Atalanta,MFFW,772.0,3.37,1.16,5.0,0.35,7.44,2.56,0.23,0.58,1.63,0.47,6.74,2.67,0.47,0.0,0.0,1.98,44.7,4.65,4.88,2.56,2.33,47.2,0.93,0.12,2.56,0
87,Alessandro Bastoni,Inter,DF,2311.0,3.81,1.95,0.86,0.0,4.2,1.32,0.04,0.08,0.35,0.08,9.3,0.51,1.48,0.0,0.16,1.4,70.0,12.4,4.05,4.32,0.66,56.7,0.82,0.16,0.43,0
88,Alessandro Berardi,Hellas Verona,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0
89,Alessandro Buongiorno,Torino,DF,1181.0,6.72,1.76,0.92,0.08,2.6,1.22,0.0,0.08,0.38,0.08,10.1,0.31,2.67,0.0,0.38,2.21,41.6,6.79,2.06,2.6,0.08,30.6,0.46,0.08,0.38,0
90,Alessandro Deiola,Cagliari,MF,2129.0,3.6799999999999997,1.81,1.05,0.04,1.81,1.14,0.17,0.04,1.1,0.46,9.54,0.89,1.56,0.0,0.21,2.07,32.5,5.82,2.49,1.48,0.55,24.3,0.46,0.08,0.55,0
91,Alessandro Florenzi,Milan,DFFW,1152.0,1.8,2.19,1.48,0.23,5.78,0.63,0.16,0.0,1.72,0.47,8.91,0.31,2.58,0.0,0.16,0.86,62.9,14.8,4.92,4.53,2.19,45.7,2.42,0.63,0.94,0
92,Alessandro Russo,Salernitana,MF,29.0,0.0,0.0,3.33,0.0,6.67,3.33,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,3.33,0.0,3.33,0.0,10.0,3.33,0.0,0.0,0
93,Alessandro Schöpf,Arminia,MF,2397.0,2.7800000000000002,1.65,1.84,0.04,3.83,1.65,0.04,0.0,1.32,0.34,12.1,1.99,1.58,0.04,0.11,1.35,39.8,4.81,3.31,2.44,1.02,30.9,1.02,0.26,1.62,0
94,Alessandro Zanoli,Napoli,DF,457.0,1.5699999999999998,1.76,0.78,0.0,5.1,0.59,0.0,0.0,0.0,0.0,7.06,0.78,2.16,0.0,0.39,1.96,55.9,5.29,2.55,2.16,0.78,42.0,0.98,0.39,0.39,0
95,Alessio Cragno,Cagliari,GK,3150.0,0.0,0.03,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,4.31,0.03,0.0,0.0,0.09,0.03,34.7,25.0,0.0,0.74,0.0,14.5,0.0,0.0,0.0,0
96,Alessio Romagnoli,Milan,DF,1409.0,4.91,1.59,1.27,0.19,2.17,0.89,0.06,0.0,0.76,0.32,9.68,0.06,1.78,0.06,0.25,1.15,62.4,10.2,3.82,3.57,0.13,49.2,0.06,0.0,0.19,0
97,Alex Ferrari,Sampdoria,DF,1643.0,2.68,2.4,0.22,0.0,1.42,1.37,0.05,0.0,0.22,0.05,7.43,0.27,2.95,0.0,0.22,1.58,44.4,9.73,2.02,1.86,0.22,32.0,0.22,0.0,0.11,0
98,Alex Iwobi,Everton,MFDF,2035.0,1.9900000000000002,2.04,3.27,0.13,4.78,0.44,0.09,0.09,1.06,0.27,6.55,1.46,1.77,0.0,0.04,0.93,34.7,5.27,3.5,2.57,1.68,29.5,1.33,0.53,1.55,0
99,Alex Král,West Ham,MF,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,Alex McCarthy,Southampton,GK,1530.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.06,0.0,30.0,17.7,0.0,0.47,0.0,13.5,0.0,0.0,0.06,0
101,Alex Meret,Napoli,GK,619.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,28.0,11.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0
102,Alex Oxlade-Chamberlain,Liverpool,MFFW,785.0,1.9499999999999997,1.95,3.79,0.23,7.47,0.8,0.23,0.11,2.41,0.34,7.47,2.07,0.92,0.0,0.0,1.38,46.3,9.2,5.17,4.6,1.84,42.6,2.53,0.34,1.03,0
103,Alex Petxa,Athletic Club,DFMF,412.0,3.04,2.61,0.43,0.0,4.78,2.61,0.0,0.0,0.43,0.22,10.4,0.65,2.17,0.0,0.87,2.61,58.9,12.6,4.13,4.35,0.87,41.1,1.52,0.22,0.22,0
104,Alex Sandro,Juventus,DF,1780.0,3.2800000000000002,1.46,1.92,0.05,5.96,1.82,0.0,0.05,0.45,0.1,8.64,1.16,1.77,0.0,0.15,1.67,55.4,8.48,4.19,2.88,1.41,42.8,1.97,0.66,1.11,0
105,Alex Sola,Real Sociedad,DFFW,41.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,42.0,6.0,0.0,2.0,0.0,32.0,0.0,0.0,2.0,0
