,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
785,Fernando Pacheco,Alavés,GK,3053.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.03,0.0,30.3,23.9,0.0,0.94,0.06,10.7,0.0,0.0,0.09,0
786,Ferrán Torres,"Barcelona, Manchester City",FW,857.5,1.83,0.42999999999999994,7.495,0.655,3.35,0.875,0.42,0.27,3.565,1.165,3.7699999999999996,1.13,0.4,0.0,0.03,0.5599999999999999,29.299999999999997,2.41,1.665,1.345,0.46499999999999997,31.95,0.8049999999999999,0.03,0.525,0
787,Fidel,Elche,MFFW,2261.0,1.28,1.51,2.35,0.28,5.62,1.35,0.2,0.24,0.64,0.28,6.14,2.07,0.72,0.0,0.36,1.2,43.6,7.85,4.46,3.39,0.84,39.8,2.07,0.36,1.59,0
788,Fikayo Tomori,Milan,DF,2718.0,3.61,2.42,0.6,0.0,1.42,0.33,0.0,0.0,0.36,0.07,8.01,0.1,2.52,0.0,0.13,0.73,56.2,12.1,2.38,2.38,0.0,43.4,0.03,0.0,0.1,0
789,Filip ?uri?i?,Sassuolo,MFFW,671.0,1.07,1.6,3.73,0.27,5.87,2.13,0.27,0.13,2.4,0.93,4.67,2.0,0.67,0.0,0.13,1.6,30.1,1.87,4.53,1.73,2.4,32.4,0.0,0.0,1.47,0
790,Filip Benkovi?,Udinese,DFFW,8.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,60.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0
791,Filip Kosti?,Eint Frankfurt,DFFW,2522.0,1.07,1.54,3.21,0.11,7.32,0.93,0.14,0.32,1.86,0.64,8.11,1.61,1.11,0.0,0.07,0.64,57.8,15.4,4.5,3.0,2.29,40.8,6.82,1.57,3.18,0
792,Filippo Bandinelli,Empoli,MF,1955.0,2.35,2.3,2.53,0.23,4.93,0.97,0.09,0.14,1.84,0.55,8.2,2.12,1.2,0.0,0.46,2.63,34.8,5.67,4.1,2.03,1.98,31.1,2.3,0.74,1.52,0
793,Filippo Delli Carri,Salernitana,DF,334.0,1.62,2.97,1.89,0.0,2.16,0.81,0.0,0.0,1.08,0.54,6.76,0.27,1.89,0.0,0.27,0.54,32.4,3.78,1.08,1.35,0.27,21.6,0.81,0.27,0.27,0
794,Filippo Distefano,Fiorentina,FW,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
795,Filippo Melegoni,Genoa,FWMF,980.0,3.58,1.74,2.75,0.18,3.85,1.83,0.09,0.0,1.19,0.64,9.17,1.47,0.73,0.0,0.09,1.38,32.5,4.68,3.03,0.92,1.19,28.3,2.02,0.46,1.47,0
796,Filippo Terracciano,Hellas Verona,DF,7.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0
797,Finley Stevens,Brentford,DF,15.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,10.0,0.0,5.0,25.0,0.0,0.0,5.0,0
798,Finn Dahmen,Mainz 05,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,40.0,13.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0
799,Fisnik Asllani,Hoffenheim,MFFW,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0
